voile,dur_s,va_ms,vz_ms,finesse,gs_ms,dh_m,vent_ms
Moustache M1 2025 18,30.0,5.63,0.68,8.33,3.43,20.3,3.3
Moustache M1 2025 18,15.0,6.67,0.66,10.12,3.39,9.9,3.48
Moustache M1 2025 18,16.0,11.65,0.91,12.8,5.37,14.5,7.41
Moustache M1 2025 18,15.0,9.98,0.69,14.45,4.16,10.4,7.06
Moustache M1 2025 18,29.0,10.0,1.25,7.98,6.58,36.4,7.06
Moustache M1 2025 18,11.0,10.06,0.86,11.63,3.64,9.5,7.02
Moustache M1 2025 18,11.0,9.97,1.43,6.99,7.84,15.7,7.51
Moustache M1 2025 18,25.0,10.39,0.81,12.87,8.69,20.2,7.51
Moustache M1 2025 18,9.0,12.89,0.88,14.66,17.98,7.9,6.96
Moustache M1 2025 18,12.0,12.21,1.45,8.42,8.62,17.4,6.96
Moustache M1 2025 18,11.0,11.67,1.89,6.18,5.82,20.8,6.96
Moustache M1 2025 18,20.0,11.13,0.92,12.16,4.98,18.3,6.58
Moustache M1 2025 18,17.0,9.19,0.64,14.31,3.23,10.9,6.34
Moustache M1 2025 18,15.0,6.55,0.65,10.15,3.17,9.7,3.49
Moustache M1 2025 18,15.0,6.97,0.47,14.7,3.22,7.1,4.29
Moustache M1 2025 18,21.0,8.98,1.24,7.27,6.77,25.9,4.63
Moustache M1 2025 18,20.1,8.82,1.13,7.82,4.52,22.7,4.55
Moustache M1 2025 18,10.0,6.87,0.82,8.33,3.8,8.3,3.44
Moustache M1 2025 18,10.0,3.81,1.0,3.81,4.9,10.0,4.55
Moustache M1 2025 18,11.0,8.85,1.55,5.72,5.84,17.1,4.55
Moustache M1 2025 18,16.0,9.16,1.32,6.93,4.68,21.2,4.55
Moustache M1 2025 18,10.0,15.92,2.41,6.6,12.06,24.1,4.7
Moustache M1 2025 18,9.0,5.82,2.88,2.02,5.54,25.9,6.15
Moustache M1 2025 18,13.0,8.57,1.32,6.48,3.37,17.2,5.56
Moustache M1 2025 18,13.0,6.15,0.42,14.66,3.65,5.5,5.72
Moustache M1 2025 18,10.0,10.64,0.69,15.41,13.2,6.9,7.44
Moustache M1 2025 18,10.0,9.93,0.64,15.56,5.9,6.4,4.1
Moustache M1 2025 18,11.0,9.29,1.72,5.39,4.59,18.9,6.57
Moustache M1 2025 18,10.0,5.77,0.73,7.94,9.18,7.3,8.49
Moustache M1 2025 18,10.0,11.17,0.85,13.08,7.97,8.5,5.34
Moustache M1 2025 18,10.0,7.74,0.83,9.33,7.18,8.3,2.75
Moustache M1 2025 18,24.0,8.81,1.81,4.86,2.83,43.5,6.15
Moustache M1 2025 18,18.0,8.52,2.13,4.0,2.62,38.4,6.15
Moustache M1 2025 18,14.0,9.43,2.01,4.68,4.82,28.2,6.76
Moustache M1 2025 18,15.0,7.6,1.9,4.0,8.12,28.5,6.76
Moustache M1 2025 18,21.0,7.18,1.87,3.85,3.07,39.2,5.78
Moustache M1 2025 18,26.0,8.92,1.67,5.35,4.25,43.3,5.78
Moustache M1 2025 18,11.0,8.08,2.14,3.78,3.93,23.5,4.96
Moustache M1 2025 18,15.0,9.06,1.77,5.11,2.98,26.6,6.58
Moustache M1 2025 18,10.0,6.73,1.35,4.97,3.6,13.6,5.08
Moustache M1 2025 18,15.0,8.61,1.62,5.3,3.76,24.4,6.79
Moustache M1 2025 18,11.0,6.91,1.38,5.0,2.74,15.2,5.02
Moustache M1 2025 18,14.0,11.9,2.01,5.92,5.87,28.2,7.79
Moustache M1 2025 18,10.0,6.09,1.5,4.05,3.36,15.0,3.03
Moustache M1 2025 18,16.0,5.93,1.37,4.32,2.9,22.0,3.03
Moustache M1 2025 18,10.0,6.13,1.17,5.22,3.69,11.7,3.03
Moustache M1 2025 18,20.0,4.35,2.5,1.74,1.96,50.0,6.11
Moustache M1 2025 18,14.0,8.82,1.99,4.42,2.86,27.9,6.11
Moustache M1 2025 18,16.0,6.59,2.32,2.83,2.93,37.2,3.66
Moustache M1 2025 18,17.0,12.04,1.97,6.1,13.54,33.5,1.51
Moustache M1 2025 18,17.0,14.42,1.8,8.02,13.02,30.6,1.51
Moustache M1 2025 18,18.0,12.86,2.4,5.36,13.44,43.1,0.68
Chili 5 26,10.0,8.46,0.6,14.22,2.84,6.0,5.87
Chili 5 26,10.0,3.86,0.91,4.25,4.75,9.1,1.23
Chili 5 26,17.0,6.11,0.86,7.13,2.22,14.6,4.03
Chili 5 26,10.0,6.77,1.92,3.53,2.17,19.2,4.73
Chili 5 26,15.0,7.67,0.81,9.47,3.25,12.2,4.73
Chili 5 26,21.0,7.47,0.9,8.26,6.81,19.0,5.42
Chili 5 26,16.0,6.57,0.47,13.97,3.08,7.5,4.72
Chili 5 26,18.0,7.5,0.51,14.73,3.08,9.2,4.53
Chili 5 26,19.0,6.94,0.52,13.41,11.61,9.8,4.79
Chili 5 26,26.0,7.2,1.03,7.0,3.24,26.7,4.63
Chili 5 26,11.0,6.93,0.98,7.05,3.21,10.8,4.66
Chili 5 26,10.0,7.32,1.65,4.43,2.83,16.6,4.66
Chili 5 26,9.0,6.59,0.58,11.43,3.54,5.2,4.02
Chili 5 26,24.0,6.98,0.57,12.35,10.09,13.6,3.77
Chili 5 26,14.0,5.37,0.83,6.49,2.09,11.6,3.77
Chili 5 26,19.0,6.84,0.53,12.95,3.51,10.0,3.72
Chili 5 26,23.0,4.81,0.41,11.84,7.75,9.4,3.39
Chili 5 26,20.0,8.15,1.09,7.46,5.41,21.8,3.39
Chili 5 26,11.0,7.25,1.7,4.27,5.18,18.7,2.07
Chili 5 26,32.0,8.42,0.72,11.64,6.63,23.2,2.07
Chili 5 26,105.0,6.79,0.69,9.82,5.04,72.6,2.07
Chili 5 26,90.0,7.55,0.67,11.32,7.76,60.1,2.35
Chili 5 26,64.0,7.27,0.82,8.84,7.39,52.7,2.05
Chili 5 26,59.0,8.13,1.31,6.21,6.35,77.2,4.1
Chili 5 26,19.0,8.29,0.92,8.98,8.3,17.5,3.42
Chili 5 26,29.0,7.96,1.69,4.71,10.87,49.0,3.42
Chili 5 26,17.0,8.3,0.78,10.6,6.78,13.3,3.42
Chili 5 26,41.0,8.04,0.56,14.41,4.2,22.9,3.96
Chili 5 26,46.0,6.43,0.71,9.02,6.66,32.8,1.69
Chili 5 26,19.4,7.51,0.72,10.4,8.04,14.0,1.42
Chili 5 26,23.0,7.09,1.3,5.45,5.96,29.9,1.42
Chili 5 26,29.0,7.44,1.18,6.31,8.41,34.2,1.42
Chili 5 26,15.0,8.45,1.23,6.87,6.3,18.4,2.57
Chili 5 26,26.0,7.7,0.74,10.34,5.89,19.4,2.57
Chili 5 26,18.0,8.36,1.06,7.92,5.9,19.0,2.57
Chili 5 26,26.0,7.13,0.88,8.1,9.49,22.9,2.58
Chili 5 26,33.9,7.38,1.12,6.59,6.17,38.0,2.21
Chili 5 26,12.0,7.65,1.21,6.33,7.44,14.5,2.21
Chili 5 26,9.0,6.84,1.43,4.78,8.0,12.9,1.81
Chili 5 26,62.0,6.71,0.87,7.74,7.8,53.8,2.1
Chili 5 26,13.0,6.21,1.17,5.3,7.98,15.3,2.16
Chili 5 26,32.0,7.74,0.91,8.47,6.73,29.3,2.06
Chili 5 26,43.0,7.18,0.8,9.0,6.96,34.2,0.5
Chili 5 26,59.0,6.28,0.63,10.03,6.13,36.9,0.5
Chili 5 26,50.0,6.01,0.41,14.6,6.9,20.6,1.42
Chili 5 26,55.0,6.4,0.47,13.74,7.62,25.6,1.42
Chili 5 26,22.0,7.98,0.65,12.34,8.2,14.2,1.74
Chili 5 26,12.0,8.42,0.78,10.78,6.57,9.4,2.71
Chili 5 26,11.0,6.8,1.09,6.23,7.39,12.0,2.71
Chili 5 26,15.0,7.66,0.9,8.51,6.94,13.5,2.71
Chili 5 26,51.0,8.48,0.96,8.86,10.12,48.9,2.27
Chili 5 26,64.0,9.83,1.2,8.18,9.01,76.9,2.08
Chili 5 26,13.0,9.72,1.55,6.28,8.66,20.1,2.08
Chili 5 26,17.0,7.11,0.54,13.13,6.67,9.2,0.44
Chili 5 26,17.0,9.14,1.39,6.6,9.58,23.6,0.44
Chili 5 26,28.0,7.84,0.83,9.49,8.57,23.2,1.14
Chili 5 26,15.0,8.59,0.55,15.5,6.12,8.3,2.52
Chili 5 26,14.0,6.7,0.86,7.83,5.45,12.0,2.24
Chili 5 26,34.0,7.98,0.58,13.83,7.56,19.6,2.24
Chili 5 26,33.0,8.03,1.22,6.58,9.1,40.2,2.18
Chili 5 26,47.0,3.59,1.04,3.45,7.36,49.0,4.59
Chili 5 26,37.3,4.52,0.74,6.14,7.61,27.4,4.59
Chili 5 26,74.0,6.58,1.35,4.86,7.16,100.3,3.04
Chili 5 26,12.0,8.54,1.47,5.82,7.61,17.6,1.32
Chili 5 26,19.0,8.54,2.06,4.14,8.65,39.2,1.32
Chili 5 26,11.0,8.2,1.02,8.04,8.83,11.2,0.97
Chili 5 26,14.0,8.98,0.68,13.15,8.54,9.6,1.7
Chili 5 26,11.0,8.39,1.22,6.85,10.54,13.5,2.16
Chili 5 26,26.0,7.26,0.57,12.65,10.05,14.9,3.76
Chili 5 26,41.0,8.96,0.58,15.59,4.69,23.6,4.28
Chili 5 26,16.0,8.78,0.76,11.53,10.1,12.2,4.28
Moustache M2 22,41.0,8.68,0.95,9.13,9.0,39.0,1.51
Moustache M2 22,10.0,11.21,1.79,6.27,10.5,17.8,1.51
Moustache M2 22,14.0,13.7,1.47,9.3,14.88,20.7,1.51
